"id_municipio","municipio","tipo","id_distrito","latitud","longitud","altitud","sist_norm_int"
"141","SAN FRANCISCO DEL MAR","470","10","16.33833333","-94.51472222","10","Partidos politicos"
"142","SAN FRANCISCO HUEHUETLAN","INTEROCEANICO","22","18.19694444","-96.94694444","1700","Sistemas normativos internos"
"143","SAN FRANCISCO IXHUATAN","INTEROCEANICO","10","16.35138889","-94.48361111","10","Partidos politicos"
"144","SAN FRANCISCO JALTEPETONGO","470","15","17.38444444","-97.26388889","2080","Sistemas normativos internos"
"145","SAN FRANCISCO LACHIGOLO","INTEROCEANICO","24","17.01138889","-96.59944444","1560","Sistemas normativos internos"
"146","SAN FRANCISCO LOGUECHE","E100","13","16.35138889","-96.37722222","1860","Sistemas normativos internos"
"147","SAN FRANCISCO NUXAÑO","470","15","17.37861111","-97.34444444","2340","Sistemas normativos internos"
"148","SAN FRANCISCO OZOLOTEPEC","470","13","16.09833333","-96.22111111","1980","Sistemas normativos internos"
"149","SAN FRANCISCO SOLA","470","20","16.51444444","-96.97472222","1410","Sistemas normativos internos"
"150","SAN FRANCISCO TELIXTLAHUACA","470","6","17.29444444","-96.90416667","1720","Partidos politicos"
"151","SAN FRANCISCO TEOPAN","E100","2","17.85","-97.49527778","2280","Sistemas normativos internos"
"152","SAN FRANCISCO TLAPANCINGO","E100","19","17.48333333","-98.26805556","1400","Sistemas normativos internos"
"153","SAN GABRIEL MIXTEPEC","470","11","16.09361111","-97.07916667","690","Sistemas normativos internos"
"154","SAN ILDEFONSO AMATLAN","INTEROCEANICO","13","16.33388889","-96.49111111","1530","Sistemas normativos internos"
"155","SAN ILDEFONSO SOLA","470","20","16.51916667","-96.98361111","1430","Sistemas normativos internos"
"156","SAN ILDEFONSO VILLA ALTA","470","27","17.3375","-96.15138889","1220","Sistemas normativos internos"
"157","SAN JACINTO AMILPAS","470","1","17.10055556","-96.7625","1560","Partidos politicos"
"158","SAN JACINTO TLACOTEPEC","470","20","16.51888889","-97.38611111","1080","Sistemas normativos internos"
"159","SAN JERONIMO COATLAN","INTEROCEANICO","13","16.2325","-96.86944444","1660","Sistemas normativos internos"
"160","SAN JERONIMO SILACAYOAPILLA","INTEROCEANICO","7","17.80861111","-97.84555556","1700","Partidos politicos"
"161","SAN JERONIMO SOSOLA","INTEROCEANICO","6","17.36555556","-97.03333333","1930","Sistemas normativos internos"
"162","SAN JERONIMO TAVICHE","INTEROCEANICO","16","16.71277778","-96.59416667","1720","Sistemas normativos internos"
"163","SAN JERONIMO TECOATL","INTEROCEANICO","22","18.16611111","-96.9125","1860","Sistemas normativos internos"
"164","SAN JORGE NUCHITA","470","7","17.65472222","-98.10611111","1190","Sistemas normativos internos"
"165","SAN JOSE AYUQUILA","INTEROCEANICO","7","17.94083333","-97.96916667","1550","Sistemas normativos internos"
"166","SAN JOSE CHILTEPEC","INTEROCEANICO","26","17.94666667","-96.17055556","40","Partidos politicos"
"167","SAN JOSE DEL PEÑASCO","INTEROCEANICO","13","16.31638889","-96.50138889","1600","Sistemas normativos internos"
"168","SAN JOSE ESTANCIA GRANDE","INTEROCEANICO","9","16.36472222","-98.25055556","60","Partidos politicos"
"169","SAN JOSE INDEPENDENCIA","INTEROCEANICO","26","18.23916667","-96.64583333","80","Partidos politicos"
"170","SAN JOSE LACHIGUIRI","INTEROCEANICO","13","16.37861111","-96.3375","1680","Sistemas normativos internos"
"171","SAN JOSE TENANGO","INTEROCEANICO","22","18.15","-96.71666667","760","Partidos politicos"
"172","SAN JUAN ACHIUTLA","470","25","17.34444444","-97.50694444","1990","Sistemas normativos internos"
"173","SAN JUAN ATEPEC","470","8","17.42666667","-96.53833333","2000","Sistemas normativos internos"
"174","ANIMAS TRUJANO","INTEROCEANICO","1","16.98833333","-96.71277778","1520","Sistemas normativos internos"
"175","SAN JUAN BAUTISTA ATATLAHUCA","470","6","17.53111111","-96.8275","1030","Sistemas normativos internos"
"176","SAN JUAN BAUTISTA COIXTLAHUACA","470","2","17.72361111","-97.32361111","2100","Sistemas normativos internos"
"177","SAN JUAN BAUTISTA CUICATLAN","INTEROCEANICO","3","17.79861111","-96.95972222","630","Partidos politicos"
"178","SAN JUAN BAUTISTA GUELACHE","470","6","17.22638889","-96.77777778","1750","Sistemas normativos internos"
"179","SAN JUAN BAUTISTA JAYACATLAN","INTEROCEANICO","6","17.42222222","-96.82166667","1270","Sistemas normativos internos"
"180","SAN JUAN BAUTISTA LO DE SOTO","470","9","16.51027778","-98.3475","80","Partidos politicos"
"181","SAN JUAN BAUTISTA SUCHITEPEC","470","7","17.97166667","-97.65944444","1860","Partidos politicos"
"182","SAN JUAN BAUTISTA TLACOATZINTEPEC","470","3","17.85972222","-96.58611111","590","Partidos politicos"
"183","SAN JUAN BAUTISTA TLACHICHILCO","470","19","17.62194444","-98.34527778","1320","Sistemas normativos internos"
"184","SAN JUAN BAUTISTA TUXTEPEC","E100","26","18.08611111","-96.12388889","20","Partidos politicos"
"185","SAN JUAN CACAHUATEPEC","470","9","16.61277778","-98.15555556","420","Partidos politicos"
"186","SAN JUAN CIENEGUILLA","470","19","17.85055556","-98.28","1410","Sistemas normativos internos"
"187","SAN JUAN COATZOSPAM","INTEROCEANICO","22","18.04888889","-96.76222222","1810","Partidos politicos"
"188","SAN JUAN COLORADO","470","9","16.45861111","-97.95361111","440","Partidos politicos"
"189","SAN JUAN COMALTEPEC","E100","4","17.33777778","-95.97666667","600","Sistemas normativos internos"
"190","SAN JUAN COTZOCON","INTEROCEANICO","14","17.16333333","-95.78166667","1230","Sistemas normativos internos"
"191","SAN JUAN CHICOMEZUCHIL","INTEROCEANICO","8","17.2875","-96.495","1760","Sistemas normativos internos"
"192","SAN JUAN CHILATECA","470","16","16.82805556","-96.67027778","1500","Sistemas normativos internos"
"193","SAN JUAN DEL ESTADO","470","6","17.27222222","-96.79944444","1740","Sistemas normativos internos"
"194","SAN JUAN DEL RIO","INTEROCEANICO","24","16.8825","-96.16138889","1190","Sistemas normativos internos"
"195","SAN JUAN DIUXI","470","15","17.28083333","-97.37333333","2250","Sistemas normativos internos"
"196","SAN JUAN EVANGELISTA ANALCO","470","8","17.40666667","-96.53888889","2060","Sistemas normativos internos"
"197","SAN JUAN GUELAVIA","INTEROCEANICO","24","16.95527778","-96.54555556","1600","Sistemas normativos internos"
"198","SAN JUAN GUICHICOVI","470","10","16.96166667","-95.09305556","260","Partidos politicos"
"199","SAN JUAN IHUALTEPEC","470","19","17.73888889","-98.28888889","1780","Partidos politicos"
"200","SAN JUAN JUQUILA MIXES","E100","28","16.93472222","-95.91722222","1440","Sistemas normativos internos"
